County,Population,Area(sqmi)
Milwaukee,954209,241.40
Dane,529843,1197.24
Waukesha,398879,549.57
Brown,259786,529.71
Racine,195398,332.5
Outagamie,184754,637.52
Winnebago,169926,434.49
Kenosha,168330,271.99
Rock,161769,718.14
Marathon,135264,1544.98
Washington,134535,430.70
La Crosse,117850,451.69
Sheboygan,115205,511.27
Walworth,103013,555.13
Eau Claire,102991,637.98
Fond du Lac,102315,719.55
Ozaukee,88284,233.08
St. Croix,87917,722.33
Dodge,87776,875.63
Jefferson,84652,556.47
Manitowoc,79407,589.08
Wood,73274,793.12
Portage,70599,800.68
Chippewa,63635,1008.37
Sauk,63596,830.9
Columbia,56954,765.53
Grant,51828,1146.85
Waupaca,51444,747.71
Calumet,49807,318.24
Monroe,45502,900.78
Barron,45252,862.71
Dunn,44498,850.11
Douglas,43402,1304.14
Polk,43349,913.96
Pierce,41603,573.75
Shawano,41009,893.06
Marinette,40537,1399.35
Oconto,37556,997.99
Green,36864,583.96
Oneida,35345,1112.97
Clark,34491,1209.82
Vernon,30516,791.58
Trempealeau,29438,732.97
Lincoln,27848,878.97
Door,27439,481.98
Juneau,26419,766.93
Waushara,24116,626.15
Iowa,23620,762.58
Vilas,21593,856.60
Jackson,20506,987.72
Kewaunee,20360,342.52
Taylor,20356,974.88
Adams,20073,645.65
Langlade,19164,870.64
Green Lake,18757,349.44
Richland,17539,586.15
Lafayette,16735,633.59
Sawyer,16370,1257.31
Crawford,16288,570.66
Ashland,15712,1045.04
Washburn,15689,797.11
Burnett,15258,821.85
Marquette,15207,455.60
Bayfield,14992,1477.86
Rusk,14183,913.59
Price,13490,1254.38
Buffalo,13167, 671.64
Forest,9018,1014.07
Pepin,7262,231.98 
Iron,5715,758.17
Menominee,4579,357.61
Florence,4337,488.20 
